"","long","lat","group","order","region","subregion","Year","Number of Crashes"
"1",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2014,143
"2",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2015,183
"3",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2016,188
"4",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2017,195
"5",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2018,221
"6",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2019,230
"7",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2020,230
"8",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2021,219
"9",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2022,217
"10",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2023,184
"11",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2024,169
"12",-94.2458267211914,41.5050621032715,755,25317,"iowa","adair",2025,12
"13",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2014,143
"14",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2015,183
"15",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2016,188
"16",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2017,195
"17",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2018,221
"18",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2019,230
"19",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2020,230
"20",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2021,219
"21",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2022,217
"22",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2023,184
"23",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2024,169
"24",-94.2458267211914,41.1612892150879,755,25318,"iowa","adair",2025,12
"25",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2014,143
"26",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2015,183
"27",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2016,188
"28",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2017,195
"29",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2018,221
"30",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2019,230
"31",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2020,230
"32",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2021,219
"33",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2022,217
"34",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2023,184
"35",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2024,169
"36",-94.4864654541016,41.1612892150879,755,25319,"iowa","adair",2025,12
"37",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2014,143
"38",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2015,183
"39",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2016,188
"40",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2017,195
"41",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2018,221
"42",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2019,230
"43",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2020,230
"44",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2021,219
"45",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2022,217
"46",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2023,184
"47",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2024,169
"48",-94.7099227905273,41.1612892150879,755,25320,"iowa","adair",2025,12
"49",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2014,143
"50",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2015,183
"51",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2016,188
"52",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2017,195
"53",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2018,221
"54",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2019,230
"55",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2020,230
"56",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2021,219
"57",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2022,217
"58",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2023,184
"59",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2024,169
"60",-94.7099227905273,41.5050621032715,755,25321,"iowa","adair",2025,12
"61",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2014,143
"62",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2015,183
"63",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2016,188
"64",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2017,195
"65",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2018,221
"66",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2019,230
"67",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2020,230
"68",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2021,219
"69",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2022,217
"70",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2023,184
"71",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2024,169
"72",-94.2458267211914,41.5050621032715,755,25322,"iowa","adair",2025,12
"73",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2014,48
"74",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2015,55
"75",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2016,38
"76",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2017,41
"77",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2018,27
"78",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2019,27
"79",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2020,32
"80",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2021,35
"81",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2022,32
"82",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2023,49
"83",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2024,28
"84",-94.7099227905273,41.1612892150879,756,25324,"iowa","adams",2025,3
"85",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2014,48
"86",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2015,55
"87",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2016,38
"88",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2017,41
"89",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2018,27
"90",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2019,27
"91",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2020,32
"92",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2021,35
"93",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2022,32
"94",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2023,49
"95",-94.4864654541016,41.1612892150879,756,25325,"iowa","adams",2024,28
